['2021-12-31', '15-04-20', 'Оболенск через бумажку всё чисто'],
['2021-03-21', '16-12-01', '8 батальон стоит Ford Transit но инспектор Один работает в одиночку выборочно'],
['2021-03-21', '16-14-06', 'Ворошилова и Джона Рида от вокзала посередине дороги на аварийке стоит машинка'],
['2021-03-21', '16-23-12', 'экипажу поставили коридор'],
['2021-03-21', '16-34-56', 'рынок стал ekipazh окна пешеходик'],
['2021-03-21', '17-04-23', 'рынок актуально на пешехода'],
['2021-03-21', '17-22-13', 'рынок прячутся на парковке сейчас на пешехода Начнут работать'],
['2021-03-21', '18-45-31', 'Колобок на пешехода Экипаж спрятался'],
['2021-03-21', '19-10-50', 'на стоянке стоит машинка GPS на ней не работает пока или уже'],
['2021-03-21', '20-06-23', 'Ворошилова Корстон перекрёсток Какие посты пешеходам'],
['2021-03-21', '21-04-54', 'Ворошилова там где хлеб и масло тормознули получается смотрит водительское и путёвку посмотрел я обклеенный'],
['2021-03-21', '21-26-42', 'Ворошилова стоят около Связного на стоянке и тормозят в сторону центра в Павловске машут восстановили примет 2 машинки дальше продолжает работать'],
['2021-03-21', '21-54-25', 'Связной работает'],
['2021-03-21', '21-55-03', 'Арсенал возле кафе работает'],
['2021-03-21', '22-19-14', '45 база ДК Родина Московское шоссе стоят экипаж'],
['2021-03-21', '22-46-17', 'мойка екипаж стоит работает а две стороны'],
['2021-03-21', '23-49-17', 'шоссе 64 напротив Родины там где воинская часть стоят экипажей'],
['2021-03-21', '23-56-20', 'Московское шоссе Родины чисто сейчас стоят на канатную 106 на остановке'],
['2021-03-22', '00-10-29', 'коншиных 106а'],
['2021-03-22', '00-10-58', 'конченых 106 где пиво пивнуха этот пивзавод там что стоит экипаж'],
['2021-03-22', '00-16-06', 'ещё стоят оформляют машину'],
['2021-03-22', '00-41-19', 'конченых только что собрались выезжают уезжают покидают'],
['2021-03-22', '00-45-34', 'Экипаж Большевик возле церкви стоят'],
['2021-03-22', '02-05-55', 'Большевик автомойка экипаж'],
['2021-03-22', '02-08-56', 'Доброе утро мойка ОККО на выезде работает Экипаж Transit Ford Transit повнимательней'],
['2021-03-22', '06-36-41', 'ребят кому интересного твой батальон чисто'],
['2021-03-22', '06-46-16', 'Авангард стоит экипаж'],
['2021-03-22', '07-33-30', 'Бригадная улица стороны нового моста дорога 6'],
['2021-03-22', '08-13-06', 'пробка с нового моста в сторону двориков и в сторону Чернышевского начинается от первой Московской тут чистят снег ищите пути объезда'],
['2021-03-22', '08-43-47', 'Славянское кладбище экипаж'],
['2021-03-22', '09-25-38', 'церковь на выезд стоят'],
['2021-03-22', '09-25-49', 'въезд Протвино перед кругом стоят на стройматериалах на магазин'],
['2021-03-22', '09-40-09', 'Экипаж работает'],
['2021-03-22', '09-42-15', 'актуаль'],
['2021-03-22', '09-48-23', 'кладбище чисто'],
['2021-03-22', '09-58-09', 'техничка универсал Сегодня никто'],
['2021-03-22', '10-04-06', 'Васильевская заправка Лукойл два экипажа в сторону Чехова стараются побольше машина останавливают проверяют через'],
['2021-03-22', '10-26-02', 'Протвино на кругу ДПС'],
['2021-03-22', '10-32-02', 'базы автомобиль ДПС тормознул какую-то машину'],
['2021-03-22', '10-39-30', 'Экипаж стал поворотно навеки в Калиново'],
['2021-03-22', '10-52-01', 'Добрый день Не подскажите пожалуйста в какую сторону сторону Серпухова или что наша ракета авария'],
['2021-03-22', '11-26-08', 'Химиков 18 напротив этой детской больницы Экипаж смотреть'],
['2021-03-22', '11-51-35', 'снялся'],
['2021-03-22', '11-53-07', 'ребят Всем привет Подскажите 8 батальон работает или нет Или там'],
['2021-03-22', '12-21-03', 'Привет аккуратненько У Семашки стоит Экипаж на парковке и пасёт кто будет выезжать против шерсти снизу аккуратно'],
['2021-03-22', '12-23-20', 'мой батальон всё чистый'],
['2021-03-22', '12-33-35', 'Добрый вечер Эдика Извините пожалуйста а скажите пожалуйста а Родионовка там растащили не растащили пробка не пробка кто подскажет'],
['2021-03-22', '13-19-47', '142 за третьим корпусом спрятался экипаж'],
['2021-03-22', '13-37-34', 'экипаж в сторону вокзала смотрит пешехода парень'],
['2021-03-22', '14-58-53', 'Мега Пять звёзд пешеходов осматривают'],
['2021-03-22', '15-11-32', 'ребят 8 батальон чисто'],
['2021-03-22', '15-16-53', 'Сколько стоят в сторону вокзала смотрит на пешеходах'],
['2021-03-22', '15-20-04', 'Дом быта стоит Экипаж смотрит в сторону вокзала на пешехода'],
['2021-03-22', '15-40-01', 'рынок снимают на камеру в сторону города'],
['2021-03-22', '15-45-02', 'рынок с планшета на пешехода'],
['2021-03-22', '15-45-55', 'черняга актуально'],
['2021-03-22', '16-15-12', 'актуально на пешехода'],
['2021-03-22', '16-29-22', 'липицы на мосту Экипаж стоит'],
['2021-03-22', '16-47-51', 'Подскажите 8 батальон что там работает или нет'],
['2021-03-22', '17-01-18', 'Логан спрятался между голодом и Дом быта будь аккуратна'],
['2021-03-22', '17-08-04', 'убралась от Ролтона в сторону двориков всё стоит'],
['2021-03-22', '17-17-39', 'батальон чисто кому интересно'],
['2021-03-22', '17-25-40', 'торговый центр Чернышевский стоят на на пешехода'],
['2021-03-22', '18-35-00', 'через борисову в сторону Москвы работает Ford Transit'],
['2021-03-22', '18-50-53', 'Спартак экипаж'],
['2021-03-22', '19-37-27', 'стоят на люстре таксисты крепят'],
['2021-03-22', '21-54-49', 'въезд в город перед заправкой Газпром стоит экипаж'],
['2021-03-22', '23-31-27', 'батальон Экипаж стоит'],
['2021-03-23', '00-30-47', 'досихпор оформляют четырнадцатую остановили Ниву тоже оформляют газельке сидят'],
['2021-03-23', '00-47-35', 'магазин кантри в обе стороны всех подряд'],
['2021-03-23', '01-35-01', 'Экипаж на старой конторе машине сидят'],
['2021-03-23', '05-56-41', 'Серпухов до родионовки кому интересно всё чисто'],
['2021-03-23', '06-35-16', 'Авангард Экипаж сидят в машине пока'],
['2021-03-23', '06-51-51', 'шоссе выезд из города уже за Борисова в деревне работает экипаж в туи в ту сторону на активнее на выезд'],
['2021-03-23', '07-24-21', 'культурная 5 equipage стоит но пока не работает'],
['2021-03-23', '07-34-16', '5 гепард также стоит Рядом стоит машина такси проверяет наверное'],
['2021-03-23', '08-00-18', 'Центральная 142 корпус 3 пересечение со школьной стоит техничка'],
['2021-03-23', '08-17-43', 'Ижевск напротив костный на стоянке стоит Экипаж установить выборочно'],
['2021-03-23', '08-19-17', 'стоит напротив Газпрома Борисово Ну капуста 142 корпус 3'],
['2021-03-23', '08-31-47', 'БорисХоф шоссе напротив Газпрома'],
['2021-03-23', '08-36-41', 'Татнефть в типаж стоит из города площадь 49 армии тоже стоят'],
['2021-03-23', '08-43-23', 'на пересечении Звёздной и окского шоссе Тойота монтажа'],
['2021-03-23', '09-04-14', 'подругу вторая школа Экипаж стоит'],
['2021-03-23', '09-14-33', 'вторая школа Круг актуально'],
['2021-03-23', '09-19-24', 'техничка на окском шоссе актуальна стоит вдоль дороги что-то выглядывает'],
['2021-03-23', '09-19-38', 'на вокзале не работает светофора Аккуратнее как-бы бегают пешеходов'],
['2021-03-23', '09-22-28', 'ребят 2 школа на кругу встали но пока сидят в машине'],
['2021-03-23', '09-26-28', 'поворотная платформа Авангард Ford Transit стоит'],
['2021-03-23', '09-34-14', 'старый контора где церковь стали Экипаж начали работать только-только'],
['2021-03-23', '09-39-59', 'Звёздная 6 техничка стало'],
['2021-03-23', '09-42-02', 'Весенняя 6 техничку стола'],
['2021-03-23', '09-42-11', 'Коллеги доброе утро Звёздная 6 техничка работает трепет автобус повнимательней'],
['2021-03-23', '09-42-14', 'Васильевская заправка Лукойл 2 экипажа в обе стороны работают'],
['2021-03-23', '09-43-00', 'Звездная 6 сауна техничка работает'],
['2021-03-23', '09-43-37', 'Звёздная 6 свободный техничка в сторону вокзала едет'],
['2021-03-23', '10-04-34', 'на вокзале остановилось'],
['2021-03-23', '10-05-22', '1 Приора в сторону Чехова тормозят'],
['2021-03-23', '10-10-20', 'Светофор полёт'],
['2021-03-23', '10-12-00', 'Авангард форд-транзит стороны Чехова тормозят'],
['2021-03-23', '10-23-28', 'Фирсова актуальна в довольно необычном месте сразу по пересечение Советской Вот они стоят'],
['2021-03-23', '10-28-16', 'поворот сады Авангард Ford Transit'],
['2021-03-23', '11-02-18', 'Дианова Пятёрочка экипаж'],
['2021-03-23', '11-03-57', 'Добрый день коллеги сейчас проезжаю мимо 8 батальона ездил в подмогу всё везде чистые туда ехал чистый обратно чисто пашут вы сами знаете Вообще никого нигде не встретил кому интересно'],
['2021-03-23', '11-09-24', '1-я Московская ДТП Mitsubishi стоит прямо в полосе движение затруднено в сторону ивановских'],
['2021-03-23', '11-26-17', 'Пятёрочка акции'],
['2021-03-23', '11-29-15', 'Дианова Пятёрочка до сих пор стоят сады Авангард тоже стоят до сих пор тормозят в сторону Чехова осину тормозят в сторону Серпухова'],
['2021-03-23', '11-40-48', 'Горького ДТП'],
['2021-03-23', '12-04-32', 'работает город'],
['2021-03-23', '12-15-14', 'авария на мосту как подниматься на Черняков горки на самом мосту затруднение в сторону Чернышевской Как ехать от змеиного моста'],
['2021-03-23', '12-41-49', 'Анечка на Красном мосту Свернул на светофоре налево в сторону Звёздной пошла'],
['2021-03-23', '13-36-34', 'Авангард поворот на сады Экипаж стоит в сторону Чехова тормозят'],
['2021-03-23', '14-36-08', 'техничка стоит на Калужская 37'],
['2021-03-23', '15-02-56', 'черняги Ну не прямо напротив шаурмы Пять звёзд но на этой парковке зоны Колись на пешехода пасут'],
['2021-03-23', '15-24-38', 'актуально на пешехода'],
['2021-03-23', '15-39-54', 'Авангард работают два экипажа плотно останавливали спрашивали всё подряд'],
['2021-03-23', '16-44-19', 'на Горького с Ворошилова авария пробочка такая собралась неплохая затруднение пути объезда лучше ищите'],
['2021-03-23', '17-35-17', 'PS проехал вроде сейчас они оформляют мы расстались'],
['2021-03-23', '17-35-31', 'форма Авангард Экипаж стоит сидят в машине'],
['2021-03-23', '18-16-31', 'рынок на чернышёвке стоят смотрят'],
['2021-03-23', '19-02-26', 'авария на улице на Весенней улице авария которую новую дорогу сделали ближе Горького это который идёт дорога от этот медсанчасти туда в сторону Горького затруднение там чему было штуки наверное 3 штук машины чокнулись 4 1 1 папу'],
['2021-03-23', '20-20-11', 'мой батальон работает'],
['2021-03-23', '20-24-38', 'черняга рынок смотрят на пешехода'],
['2021-03-23', '20-56-43', 'Ворошилова Связной стоят на крыше планшет стоит снимает пешеходный'],
['2021-03-23', '21-09-43', 'черняга рынок китаяночка актуально уже кого-то там трясут блин'],
['2021-03-23', '21-24-15', 'Пятая школа шаурма Экипаж стоят'],
['2021-03-23', '21-33-14', 'Советская 1 на повороте под забор Красноярск'],
['2021-03-23', '22-29-01', 'Доброй ночи Советская 1 стоят проверили документы'],
['2021-03-23', '23-09-48', 'возле кардана всех подряд нюха'],
['2021-03-24', '02-47-41', 'возле автозапчастей'],
['2021-03-24', '02-47-53', 'Центральный стояк где 158 по-моему дома вот эти вот и забор такой идёт ближе к стоянке к скорой вот между забором они там спрятались стоят'],
['2021-03-24', '03-36-32', '59 наверное Вот двухэтажки идут как от светофора от борисовского едешь по правой стороне забор и вот где этот забор вот между там заезда есть вот в этом заезде'],
['2021-03-24', '03-37-01', 'Экипаж пока в машине сидят'],
['2021-03-24', '05-40-29', 'Васильевское сторону Москвы нагорки 4 по-моему пять человек мальчевская'],
['2021-03-24', '05-58-22', 'устанавливает мойка Ока equipage и переезда в Москву или на Тула развилка он чуть патронатом ездили тоже стоит Экипаж тоже останавливается'],
['2021-03-24', '06-22-57', 'Доброе утро кому интересно 8 батальон чист'],
['2021-03-24', '06-41-55', 'Васильевка заправка Лукойл три экипажа стоят работают'],
['2021-03-24', '06-54-29', 'сторону площади по первой Московской поехала'],
['2021-03-24', '07-14-39', '106k всех подряд нюхают стараются тормозить как получится'],
['2021-03-24', '07-17-51', 'законченных у пивоварни актуально работают'],
['2021-03-24', '07-24-42', 'Центральная напротив 156 дома-2 человека эти пары работы'],
['2021-03-24', '07-25-33', 'шасси После заправки интеройл стоит трико позже Вова сторону работает'],
['2021-03-24', '07-28-54', 'точнее Космонавтов Где магазин Людмила экипаж'],
['2021-03-24', '07-53-06', 'Ребята всем доброе утро технички на Театральной приехала'],
['2021-03-24', '07-55-48', 'стоит напротив Войкова 34 она мигалках цепанул кого-то'],
['2021-03-24', '08-13-19', 'Дзержинского снег убирает около Вечного огня Газель какая-то стоит они знают только контролируют уборку снега то ли техничка Сейчас подъеду посмотрю номер'],
['2021-03-24', '08-23-57', '4187 стоит короче около Вечного огня'],
['2021-03-24', '08-26-30', 'Доброе утро конченных чисто'],
['2021-03-24', '08-32-05', 'как автолаки Паш'],
['2021-03-24', '08-46-21', 'школа Круг работает'],
['2021-03-24', '09-11-13', 'Круг актуально смотрит в сторону Земляного моста в основном всех кто оттуда тех останавливает'],
['2021-03-24', '09-12-43', 'техничка продолжает трудиться на вечном огне на ногинке смотрю два грузовичка стоит и 2 легковых остановился Я на такси проехал туда-обратно нефёдова так смотрел на меня но он не останавливал'],
['2021-03-24', '09-14-05', 'Экипаж стоит'],
['2021-03-24', '09-16-06', 'Горького в сторону Советской пошла'],
['2021-03-24', '09-16-25', 'Экипаж трудиться'],
['2021-03-24', '09-17-17', '1-я Московская на светофоре в сторону города небольшая стёпушка'],
['2021-03-24', '09-18-03', 'шоссе и оборонной она перед светофором в сторону города левая полоса занята авария запуск'],
['2021-03-24', '09-18-10', 'бразильская стоимость Серпухова мальчишки спал постоять'],
['2021-03-24', '09-21-28', 'кладбище уехали'],
['2021-03-24', '09-24-42', 'возле второй школы стоит экипаж'],
['2021-03-24', '09-27-21', 'на запах'],
['2021-03-24', '09-27-25', 'только что сдох Светофор внимательно'],
['2021-03-24', '09-27-38', 'вокруг чисто'],
['2021-03-24', '09-37-57', 'Анечка с ногинке выехала повернула Направо Не знаю на звёздную или на Обская'],
['2021-03-24', '09-48-08', 'где одностороннее движение движение перекрыто трактор там работает будет это что-то он дорогу долбит то ли трубы менять'],
['2021-03-24', '09-55-37', 'на Советской поворачивать направо на улицу участок'],
['2021-03-24', '09-55-50', 'интересный 8 батальон чисто'],
['2021-03-24', '10-24-08', '63 Jack стоит'],
['2021-03-24', '10-34-12', 'что-то мне навстречу встретились на Ворошилова Ворошилова 5 экипажей Московского ГИБДД может какая-то проверка сейчас будет по Серпухову'],
['2021-03-24', '10-34-45', 'около ДК России стоит экипаж'],
['2021-03-24', '10-48-25', 'приехали в Протвино церковь'],
['2021-03-24', '10-57-28', 'на Фирсова около авиа клуба работает грузовичком вроде'],
['2021-03-24', '11-40-15', 'шоссе выезд на Москву на танках стоит патруль всех подряд тормозит'],
['2021-03-24', '11-41-56', 'как он там авиаклуб на Фирсова техничка таксисты что-то шмонают'],
['2021-03-24', '11-47-08', 'Добрый день всем передаёт клубам на Фирсова техничка таксистов шмонают конкретно шмонают всех останавливай'],
['2021-03-24', '12-26-28', 'Фирсова где я аероклуб стоянка стоит техничка Largus походу закупка'],
['2021-03-24', '12-45-02', 'книжка по Дзержинского в сторону Вечного огня поехала'],
['2021-03-24', '12-50-45', 'поехала по Звёздной в сторону Ворошилова'],
['2021-03-24', '12-52-53', 'по Горького в сторону Советский поехала'],
['2021-03-24', '12-55-55', 'Добрый день ещё раз коллегии сейчас ехал по Горького в сторону палата в общем меня обогнала техничка техничка пошла в сторону торговое училище от Советской Куда дальше повернуть не знаю номер у него 4187 Ну на это на случай если их опять 2 Но я прочитал на боку технический контроль вот так что возможно вокзал пойдёт'],
['2021-03-24', '12-56-04', 'по оборонной проехала мимо магазина Дикси Куда дальше не знаю'],
['2021-03-24', '13-00-11', 'стоит Московское шоссе дом 40 во дворе'],
['2021-03-24', '13-02-12', 'техничка от дежурная часть На ней написано сбоку поехала по борисовскому центральной в сторону Казахстана'],
['2021-03-24', '13-16-30', 'Ford Transit седо'],
['2021-03-24', '13-23-01', 'стоит там никого нету блин куда-то разбежались'],
['2021-03-24', '13-55-55', 'работает на пешеходов'],
['2021-03-24', '13-58-51', '8 батальон Ford Transit без города работы'],
['2021-03-24', '14-37-12', 'Добрый день техничка повернула на ногинке сейчас по Дзержинского поехал'],
['2021-03-24', '14-44-10', 'проехал вокзал в сторону по Северному шоссе в сторону двориков'],
['2021-03-24', '14-52-26', 'стоит экипаж'],
['2021-03-24', '15-28-53', 'техничка около фонтанов двойках'],
['2021-03-24', '15-33-21', 'Пушкина 1 едет в сторону площади'],
['2021-03-24', '15-37-11', 'ещё актуальна таксист остановили'],
['2021-03-24', '15-44-27', 'Татнефть Экипаж стоит машине сидят'],
['2021-03-24', '15-49-36', 'нефть уехали'],
['2021-03-24', '16-02-27', 'шоссе торговый центр напротив него в сторону города'],
['2021-03-24', '16-16-08', 'мой батальон работает Ford Transit на выезд'],
['2021-03-24', '16-54-34', 'медальон форд-транзит из города стоит'],
['2021-03-24', '16-55-23', 'ЖД станция Авангард стоит Экипаж один'],
['2021-03-24', '16-56-08', 'Ford Transit из города но возрастает никого не останавливает там он даже пустой наверное что ли он'],
['2021-03-24', '17-16-05', 'работает активно'],
['2021-03-24', '18-02-25', 'работает эвакуатор будьте внимательны'],
['2021-03-24', '18-08-59', 'мой батальон стоит Экипаж из города'],
['2021-03-24', '18-27-12', 'Юность города активно работают несколько машин уже остановили'],
['2021-03-24', '18-36-31', 'пересечение улицы Звёздной и осенняя на перекрёстке авария'],
['2021-03-24', '19-09-55', 'двухсторон ДПС на геймпаде осторожно'],
['2021-03-24', '19-25-21', 'ворона татарки экипаж'],
['2021-03-24', '21-03-22', 'школа стоят около рынка этого'],
['2021-03-24', '22-11-27', 'батальон пистолет города'],
['2021-03-24', '22-50-44', 'старая контора экипаж'],
['2021-03-25', '00-16-05', 'на выезде из Липецка яд'],
['2021-03-25', '01-27-17', 'перед выездом на М2 через Бутурлино стоят нагорки на выезд всех подряд'],
['2021-03-25', '06-33-01', 'Белгород Яна Съезд на Москву после Бутурлино также стоят тормозят'],
['2021-03-25', '06-39-48', 'начали тормозить в обе стороны всех подряд'],
['2021-03-25', '06-44-30', 'Октябрьской на изгибе стоят проверяют нюхают так поворот на Карла Маркса'],
['2021-03-25', '07-01-20', 'на повороте стоят'],
['2021-03-25', '07-01-50', 'Октябрьская поворот на жарку экипажа всех подряд практически смотрю'],
['2021-03-25', '07-02-08', 'на повороте дозаправкой Подтверждаю актуальна стоят'],
['2021-03-25', '07-11-31', 'точнее ребята поиграли в пограничном на повороте'],
['2021-03-25', '07-11-44', 'Уральская 40 напротив детсада Экипаж работает'],
['2021-03-25', '07-35-45', 'пока возле тюрьмы стоит'],
['2021-03-25', '07-49-06', 'Борисова нагорки экипаж'],
['2021-03-25', '07-53-17', 'техничка со второй Московской свернула в сторону парка'],
['2021-03-25', '08-00-26', 'Доброе утро ребята площадь 49 армии Экипаж но пока в машине сидят'],
['2021-03-25', '08-06-22', 'Доброе утро коллеги техничка поехал по-осеннему на Звёздной'],
['2021-03-25', '08-10-15', 'Звёздная 6 Всем привет'],
['2021-03-25', '08-17-14', 'техничка Звёздная 6 актуально'],
['2021-03-25', '08-44-14', 'кому-то требуется восьмой батальон'],
['2021-03-25', '08-46-36', 'работает на Звёздной'],
['2021-03-25', '08-49-18', 'поворот на авангард-2 легковых Transporter стоят какой духу восстановили но вроде пока что тренировка'],
['2021-03-25', '08-55-56', 'техничка уехала'],
['2021-03-25', '08-56-52', 'утром поворотно Авангард стоит два экипажа'],
['2021-03-25', '09-06-07', 'уехала техничку со звёзд'],
['2021-03-25', '09-07-05', 'Светофор будьте внимательны'],
['2021-03-25', '09-29-16', 'на старый конторе экипаж в сторону Протвино остановил пристально смотрел оглядываться в путёвку Ну и документы заодно смотрел'],
['2021-03-25', '09-31-32', 'обратно проехал мимо старый конторы остановил Яндекс жёлтый там наверное что-то и по такси смотрите у кого если всё в порядке лучше не ехать не ездить туда'],
['2021-03-25', '09-39-03', 'Большевик 2 контора уехали'],
['2021-03-25', '09-42-43', '8 батальон Волга сторону работает'],
['2021-03-25', '10-17-36', 'книжка по Пушкина в сторону города'],
['2021-03-25', '10-19-44', 'едет сторону дворика встретил с ней сейчас на 45'],
['2021-03-25', '10-22-50', 'калужскому шоссе стоимость огород Северный поехала'],
['2021-03-25', '10-25-07', 'Васильевского сторону города где звёздочка этот мостик работает экипажей'],
['2021-03-25', '10-25-27', 'Джона Рида и Советской Экипаж стал работает в обе стороны останавливают проверяют путёвки'],
['2021-03-25', '10-32-28', 'Фирсова проехала в сторону улица Ворошилова'],
['2021-03-25', '10-37-48', 'Да всё прочитала техничка актуально на вокзале'],
['2021-03-25', '11-04-16', 'Васильевское Экипаж поворот под мост где и короче в сторону города стоят'],
['2021-03-25', '11-05-07', 'Экипаж на Шкоде остановил таксиста работает в обе стороны'],
['2021-03-25', '11-10-25', 'техничка стоит на светофоре Ворошилова Звёздная Фирсова когда поедет Я не знаю ловить в городе'],
['2021-03-25', '11-59-08', 'ответка из клуба Донна уехали С Пушкина едут в сторону города типаж'],
['2021-03-25', '12-06-01', 'норма двориков'],
['2021-03-25', '12-06-44', 'Газпрома Центральный 142 третий корпус'],
['2021-03-25', '12-11-20', 'KFC напротив Газпрома'],
['2021-03-25', '12-11-21', 'на борисовском шоссе напротив 142 домах'],
['2021-03-25', '12-12-35', 'Центральная 142 3 корпус актуально'],
['2021-03-25', '12-34-52', 'Добрый день на Театральной стоит Экипаж Ок e-posud кто снизу поднимается если под кирпич проедет То считай что попал'],
['2021-03-25', '13-03-09', 'Горького авария'],
['2021-03-25', '13-07-06', 'Авангард Экипаж стоит работает'],
['2021-03-25', '13-15-40', 'мошки проехал в сторону площади'],
['2021-03-25', '13-16-10', 'Авангард два экипажа но что-то как-то работать не хотят в машинах Киев'],
['2021-03-25', '14-12-57', 'Васильевская эстакада сторону города Solaris насчёт Мне кажется по грузовым она вас на'],
['2021-03-25', '15-12-56', 'на Ворошилова Чехова'],
['2021-03-25', '15-13-17', 'Почему уехали'],
['2021-03-25', '15-13-25', 'поворот на Авангард Экипаж один остался работа'],
['2021-03-25', '15-14-45', 'Северное шоссе всё чисто не там технички нигде'],
['2021-03-25', '15-23-19', 'стоит на светофоре пересечение Володарского и первой Московской едет в сторону Урицкого'],
['2021-03-25', '15-54-04', 'под мостом работает Экипаж осматривает машину такси сказали что операция идёт Всё машину посмотрели составили протокол досмотра'],
['2021-03-25', '16-00-47', 'Авангард работает экипаж'],
['2021-03-25', '16-02-41', 'Московском шоссе напротив Московское шоссе дом 40 42'],
['2021-03-25', '16-12-46', 'шоссе непонятно что стоят ДПС куча народу снимают на видео какого-то останавливают не знаю что там происходит может какая-то акция провокация короче поворот на новослободскую Борисовское шоссе'],
['2021-03-25', '16-57-10', 'Психушка по Московскому шоссе напротив 42 дома где пешеходик затруднение'],
['2021-03-25', '17-03-15', 'видео в районе площади Ленина 15 минут назад'],
['2021-03-25', '17-23-58', '8 батальон чисто интересно'],
['2021-03-25', '17-29-03', 'самохвал бывший 7 гаишников стоит'],
['2021-03-25', '17-33-00', 'с Борисова на горке наверху стоит Ford Transit'],
['2021-03-25', '17-34-15', 'платформа Авангард только что встал типаж'],
['2021-03-25', '18-15-39', 'сады Авангард стоит Экипаж Пока никого не тормозят'],
['2021-03-25', '18-22-14', 'Связной в сторону вокзала на пешехода работают активно темно там при мне 3 машины остановили'],
['2021-03-25', '20-31-46', 'Чернышевского рынка на печку Tucson'],
['2021-03-25', '20-41-58', 'Связной экипаж'],
